latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.41025,29.21267,440.56,1.65,1.26,2025-12-26,124,A,100,6.1NRT,301.49,1240.33,N
-20.47252,119.12739,441.18,1.43,1.18,2025-12-26,705,A,100,6.1NRT,323.15,994.42,D
-20.48297,119.12888,422.45,1.43,1.18,2025-12-26,705,A,100,6.1NRT,309.98,675.85,D
-20.48463,119.11544,412.51,1.44,1.19,2025-12-26,705,A,87,6.1NRT,302.1,541.69,D
-20.46207,119.12591,401.65,1.43,1.18,2025-12-26,705,A,100,6.1NRT,314.86,415.71,D
-1.40811,29.19819,390.21,1.64,1.26,2025-12-26,124,A,100,6.1NRT,284.15,414.32,N
9.64592,31.01773,385.96,1.47,1.2,2025-12-26,121,A,100,6.1NRT,299.3,311.75,N
-1.36538,29.15807,376.44,1.62,1.25,2025-12-26,124,A,100,6.1NRT,298.69,286.45,N
-20.36832,120.41809,394.17,1.2,1.09,2025-12-26,705,A,100,6.1NRT,290.3,267.55,D
-22.42028,131.78587,355.15,2.74,1.58,2025-12-26,705,A,96,6.1NRT,314.85,235.14,D
-22.42423,131.79172,355.04,2.74,1.58,2025-12-26,705,A,96,6.1NRT,314.96,224.86,D
-1.36783,29.15243,367.04,1.62,1.25,2025-12-26,124,A,100,6.1NRT,292.04,218.88,N
-20.47416,119.11395,377.83,1.44,1.19,2025-12-26,705,A,94,6.1NRT,311.07,216.03,D
-1.39347,29.17482,363.68,1.63,1.26,2025-12-26,124,A,100,6.1NRT,292.49,200.06,N
-20.36981,120.4069,380.91,1.2,1.09,2025-12-26,705,A,100,6.1NRT,286.27,185.27,D
19.40551,-155.2861,336.91,2.93,1.63,2025-12-26,41,A,88,6.1NRT,307.55,175.83,D
-20.45422,119.13174,370.33,1.43,1.18,2025-12-26,705,A,100,6.1NRT,307.71,169.28,D
19.40211,-155.28082,336.26,2.93,1.63,2025-12-26,41,A,87,6.1NRT,307.88,168.27,D
-22.438,131.795,348.36,2.74,1.58,2025-12-26,705,A,91,6.1NRT,315.93,156.17,D
-1.39532,29.18745,354.65,1.64,1.26,2025-12-26,124,A,100,6.1NRT,291.02,150.48,N
-20.46044,119.13931,363.31,1.43,1.18,2025-12-26,705,A,100,6.1NRT,307.52,131.68,D
-1.36978,29.16591,347.74,1.63,1.26,2025-12-26,124,A,100,6.1NRT,293.46,119.79,N
-20.45161,119.12442,359.63,1.43,1.18,2025-12-26,705,A,99,6.1NRT,298.52,114.18,D
11.23611,19.49926,325.42,2.94,1.63,2025-12-26,121,A,100,6.1NRT,294.97,114.15,N
-20.47088,119.1408,357.95,1.43,1.18,2025-12-26,705,A,88,6.1NRT,305.21,105.07,D
10.89853,29.50017,356.22,1.14,1.06,2025-12-26,121,A,100,6.1NRT,292.98,92.05,N
