latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.387,-46.64428,318.54,1.16,1.07,2025-10-24,1219,T,62,6.1NRT,302.88,6.96,D
-13.30393,-47.45809,318.29,1.07,1.03,2025-10-24,1219,T,53,6.1NRT,300.54,9.26,D
-13.30529,-47.44832,322.68,1.07,1.03,2025-10-24,1219,T,72,6.1NRT,302.12,14.14,D
-13.27634,-47.98882,317.32,1.03,1.01,2025-10-24,1219,T,53,6.1NRT,300.41,8.34,D
-13.46018,-46.71309,324.69,1.15,1.07,2025-10-24,1219,T,75,6.1NRT,300.21,16.29,D
-13.29035,-48.28787,317.12,1.02,1.01,2025-10-24,1219,T,59,6.1NRT,302.96,6.97,D
-13.29163,-48.27871,316.76,1.02,1.01,2025-10-24,1219,T,57,6.1NRT,302.33,6.31,D
-13.33511,-47.9661,319.01,1.03,1.02,2025-10-24,1219,T,64,6.1NRT,299.45,9.88,D
-13.36195,-47.9699,347.32,1.03,1.02,2025-10-24,1219,T,93,6.1NRT,300.55,52.3,D
-13.36324,-47.96063,321.07,1.03,1.02,2025-10-24,1219,T,69,6.1NRT,299.96,12.45,D
-13.53976,-47.55016,317.15,1.07,1.03,2025-10-24,1219,T,62,6.1NRT,299.25,10.95,D
-13.54107,-47.54062,319.51,1.07,1.03,2025-10-24,1219,T,68,6.1NRT,298.0,13.38,D
49.02406,-115.54974,304.3,1.28,1.12,2025-10-24,1136,A,55,6.1NRT,272.01,14.92,N
-23.03595,34.16568,327.01,1.68,1.27,2025-10-24,1234,A,76,6.1NRT,308.95,27.77,D
-22.87836,35.21565,319.96,1.42,1.18,2025-10-24,1234,A,70,6.1NRT,286.15,22.09,D
-23.13507,32.58942,340.88,2.19,1.44,2025-10-24,1234,A,52,6.1NRT,296.67,112.01,D
-22.88775,34.05715,326.59,1.7,1.28,2025-10-24,1234,A,75,6.1NRT,307.82,30.42,D
-22.8894,34.05227,330.75,1.7,1.28,2025-10-24,1234,A,80,6.1NRT,308.42,41.3,D
-22.83998,33.87907,327.68,1.75,1.3,2025-10-24,1234,A,65,6.1NRT,305.73,32.69,D
-22.84184,33.86238,374.62,1.75,1.3,2025-10-24,1234,A,100,6.1NRT,310.53,276.69,D
-20.91748,44.17112,330.7,1.74,1.29,2025-10-24,1234,A,79,6.1NRT,300.17,40.19,D
-22.59773,31.99823,322.1,2.39,1.49,2025-10-24,1234,A,64,6.1NRT,310.1,24.5,D
-22.60004,31.97563,335.07,2.4,1.49,2025-10-24,1234,A,83,6.1NRT,310.1,81.74,D
-22.58815,31.99197,324.31,2.39,1.49,2025-10-24,1234,A,69,6.1NRT,310.58,31.42,D
-22.59061,31.96935,326.14,2.4,1.49,2025-10-24,1234,A,72,6.1NRT,310.9,38.32,D
-22.218,34.79472,321.03,1.48,1.2,2025-10-24,1234,A,67,6.1NRT,302.55,17.14,D
-22.18388,34.71861,321.35,1.49,1.21,2025-10-24,1234,A,67,6.1NRT,304.44,17.26,D
-22.26431,32.3388,331.2,2.23,1.45,2025-10-24,1234,A,80,6.1NRT,311.35,51.33,D
-22.25699,32.15805,357.43,2.29,1.47,2025-10-24,1234,A,98,6.1NRT,311.35,217.52,D
-22.10427,32.4963,324.14,2.15,1.43,2025-10-24,1234,A,46,6.1NRT,308.8,28.7,D
-21.84018,33.73038,323.95,1.73,1.29,2025-10-24,1234,A,71,6.1NRT,308.34,19.49,D
-21.84253,33.72563,327.82,1.73,1.29,2025-10-24,1234,A,77,6.1NRT,309.06,27.55,D
-21.76073,33.64095,321.59,1.75,1.3,2025-10-24,1234,A,53,6.1NRT,308.37,14.78,D
-21.72616,33.73637,336.0,1.72,1.29,2025-10-24,1234,A,85,6.1NRT,308.01,53.51,D
-19.8998,44.98211,322.37,2.09,1.41,2025-10-24,1234,A,62,6.1NRT,299.47,25.03,D
-19.79619,45.03523,342.21,2.12,1.42,2025-10-24,1234,A,0,6.1NRT,294.48,112.12,D
-21.52085,33.42699,323.11,1.8,1.32,2025-10-24,1234,A,67,6.1NRT,309.31,16.83,D
-21.26102,33.30735,326.58,1.82,1.32,2025-10-24,1234,A,71,6.1NRT,308.33,27.03,D
-21.23792,33.4078,321.15,1.79,1.31,2025-10-24,1234,A,57,6.1NRT,305.37,16.86,D
-21.4317,31.45727,326.27,2.53,1.53,2025-10-24,1234,A,53,6.1NRT,313.27,25.86,D
-21.22769,33.31341,329.47,1.82,1.32,2025-10-24,1234,A,76,6.1NRT,307.9,31.95,D
-19.4315,44.93346,322.81,2.12,1.42,2025-10-24,1234,A,71,6.1NRT,298.14,26.99,D
-21.00552,34.61646,330.85,1.46,1.19,2025-10-24,1234,A,71,6.1NRT,299.18,37.21,D
-21.00096,34.61055,331.35,1.46,1.19,2025-10-24,1234,A,81,6.1NRT,300.14,38.12,D
-20.99042,34.60907,326.22,1.46,1.19,2025-10-24,1234,A,51,6.1NRT,300.11,27.13,D
-19.39365,44.9202,318.54,2.12,1.42,2025-10-24,1234,A,48,6.1NRT,297.49,19.02,D
-21.11722,33.38029,343.5,1.79,1.31,2025-10-24,1234,A,90,6.1NRT,306.13,86.17,D
-19.40388,44.58862,330.35,2.0,1.38,2025-10-24,1234,A,80,6.1NRT,298.18,49.21,D
-19.36312,44.57297,317.36,2.0,1.38,2025-10-24,1234,A,40,6.1NRT,296.88,13.4,D
-20.56349,33.52169,320.02,1.72,1.29,2025-10-24,1234,A,61,6.1NRT,301.0,18.27,D
-20.49206,32.83642,316.74,1.93,1.36,2025-10-24,1234,A,41,6.1NRT,298.05,22.45,D
-20.49399,32.81915,320.84,1.93,1.36,2025-10-24,1234,A,63,6.1NRT,297.77,32.7,D
-20.35265,32.98471,317.19,1.87,1.34,2025-10-24,1234,A,32,6.1NRT,300.79,18.08,D
-20.21497,33.94186,336.82,1.58,1.24,2025-10-24,1234,A,85,6.1NRT,301.42,48.53,D
